	id	sentence1	sentence2	similarity
8165	13983545795da6f3a6a8a0270	"Mr Eddington warned yesterday that the future of the airline was ""in the hands of the negotiators""."	"""The future of BA is in the hands of the negotiators,"" Eddington told British Broadcasting Corp. television on Sunday."	3.4
1902	ec99ce79336e385dcc7580176	A woman holding a newspaper.	A man rollerblading on a metal bar.	0.0
3930	8db4378a53db9cd05509d4c26	Thousands more Syrian refugees flee to Turkey overnight	8,000 Syrian refugees flee to Turkey overnight	3.8
702	718ae9559fcefb054890c3458	A man is playing a flute.	A woman is applying eye liner.	0.0
4786	e81277212bbace25cd8290105	North Korean cargo reveals missile repair trade with Cuba	N Korean ship carrying Cuba missiles seized	2.8
3199	26aca6e3837056f879653fb89	Lowe's, with about half as many stores, reported a 33 percent increase in third-quarter profit behind a 12 percent jump in same-store sales.	Home Depot reported a 22 percent jump in third-quarter profit behind a nearly 8 percent rise in same-store sales.	1.4
4618	6fd6be1b31fa44c65b63a3cdc	Hushen 300 Index closes higher -- Oct. 14	Hushen 300 Index closes lower -- March 12	2.0
3399	9605c614f0f2b3eb7d1d12205	The district also sent letters yesterday informing parents of the situation.	Parents received letters informing them of the possible contamination yesterday.	3.0
6658	34e18c460dfaa2c50915d66ec	Your brain is already beginning to wind down as you see the end in sight.	I'm writing here a few tips that can help you with motivation.	0.4
8391	ac4d4d895d0ae868bbc882bcd	Tehran: EU sanctions won't force Iran into nuclear talks	Low expectations for Iran nuclear talks	1.8
2685	5faf8278b3563b730a8251a22	The broader Standard & Poor's 500 Index .SPX advanced 2 points, or 0.24 percent, to 977.	The Nasdaq Composite Index .IXIC was off 6.52 points, or 0.39 percent, at 1,645.66.	0.8
8533	1bf0b765c915011e3a45f5b53	Twelve killed in bomb blast on Pakistani train	Gunmen kill nine in southwest Pakistan: Police	2.0
6360	36b9e2215efdd2de587092b9e	A man walks his dog on the beach.	A man with his dog on the beach.	4.4
286	b083a7d2a2ccbab941e4f8dba	A woman is slicing butter.	A woman slices tofu.	1.8
1630	b860efcf6884dc8d08c22598d	Three people racing on ice skates.	Three ice skaters round a corner.	3.2
5455	f3f0798edd0073ed39efd1fe5	Philip leaves hospital after 11 days	Mandela leaves hospital after 10 days	1.8
503	632fdd25065e7edeffdd015c6	A man is playing the guitar.	A man is playing the flute.	2.2
682	c1b62fbf437c093b32cc8b142	A man is dancing on the road.	A man is dancing.	3.25
8266	4c142990c0697c7a7311954f8	He was tracked to Atlanta where he was arrested on Tuesday night.	He was arrested in Atlanta, Georgia, on Monday night by police acting on a tip-off.	2.5
1410	9a5c2aa32427d292946cf0670	An orange kitten lay on a leather couch.	Young couple sitting on a black couch.	0.8
4411	0a1a3028d1e899b73917c1214	French parliament backs reform of law on prostitution	Russian parliament to consider ban on U.S. adoptions	0.8
4472	c1e86791e91d4d540671e607d	Boy Scouts delay decision on admitting gays	Boy Scouts of America delays vote on lifting ban on gays	5.0
2293	7a6779ce66ae0cdff310f18bd	It's definitely NOT what it used to be.	voted Voted It's definitely NOT what it used to be.	4.0
191	585ffbb613ea73a2d23356afc	A woman is doing weight exercises.	A woman is doing her hair.	0.5
3851	5241591ed3238d0e1147b3bbc	'Iran will attack Tel Aviv if Israel strikes'	Senior cleric: Iran will attack Tel Aviv if Israel strikes	4.4
3030	ae971e2708a47b1e2bd7d73b1	The government recently shelved peace talks with the MILF, being brokered by Malaysia, after a string of attacks, including three bombings, on Mindanao.	The government recently shelved peace talks being brokered by neighbouring Malaysia after a spate of attacks on Mindanao, including three deadly bombings, that it blamed on the MILF.	4.25
6104	6d832e0a87306b04885cc6f36	Boy lying on couch with small white dog.	A small boy laying on a sofa with a dog.	4.0
590	56eae4a5777257e5406ffec05	A girl is styling her hair.	A girl is filing her nails.	1.25
3925	cf184f396669024d458b44f44	Two Kenyan ministers among 6 killed in plane crash	Poland honors president killed in 2010 plane crash	0.8
3600	0b8207cb827770f68f47c3108	the chinese government gave active cooperation and assistance to the organization for the prohibition of chemical weapons inspections. 	the ecuadorian foreign ministry said in a statement that delegates from the organization for the prohibition of chemical weapons (opaq) will also take part in the meeting.	1.0
93	dbe21a66def6a5c8ac5aae3ca	A man is fishing.	A man is exercising.	0.5
5643	c7dfa36710361010c9ae88c38	Malaysia Airlines plane crashes on Ukraine-Russia border - live	US: Russia Massing Troops on Ukraine Border	0.0
2930	c3bd05a9206a31e16562ee535	Two Kuwaitis and six Palestinians with Jordanian passports were among the suspects, the official said.	They include two Kuwaitis and six Palestinians with Jordanian passports, and the remainder are Iraqis and Saudis, the official said.	3.0
6464	e92cff761e51247d39a9667eb	Yes, your sentence will be clearer if you write the actual word instead of the slash.	Most style guides recommend against using the slash in phrases like “X and/or Y”, as well as  “this is hard/impossible to do”.	3.4
5987	a0ddb1cf663a4d308f31d83a0	A man plays the guitar and sings.	A man is singing and playing a guitar.	5.0
8425	e6f5a5887ce64b0c27a34fada	Some Syria violence amounts to civil war-Red Cross	Some Syria violence qualifies as civil war -Red Cross	4.4
4772	77a6f30b7c1a610e4143888f2	Austrian found hoarding 56 stolen skulls in home museum	Austrian man charged after 56 human skulls are found at his home	4.4
4609	da39138289bd9371a55af8828	Suicide bomber kills 13 in Russia's south	Suicide bomber kills 16 in Russia’s Volgograd	1.8
2044	348038409677241213285fcf3	Fundimental difference, please?	Fundamental difference?	4.6
4294	785d7dc09e5b6e972b0435300	Syria rebels leave besieged Homs	Syrian rebels retreat from besieged Homs district	4.4
6622	2a1ec148282fbb3e834f9b71b	Here are many samples: Pbase.com Out of the 16k photos there, I'm sure some are with a d700.	It's a 1:1 lens, so that means that the size of the subject will be the same size on the sensor.	0.6
6569	bc461da406baa53c81f13c414	Most doctors do recommend rice cereal as the first food, as there is almost no worry of allergic reaction.	Eating off a spoon has to be an unusual experience for them.	0.67
1658	a35a2d8f9bc14a29ce84b538d	A black and white dog is running through the field.	A black and white dog is running in the grass.	4.8
5814	93db548149540ce947e38d8ad	A man is making a bed.	A woman is playing a guitar.	0.0
3808	f78a5b9a692d6acf6c5218f73	U.S. and Turkey weigh no-fly zones for Syria	U.S. and Turkey Tighten Coordination on Syria	2.2
4154	e7fd6928a2e0885f6d5e3bec4	Edwards Acquitted on 1 Count, Mistrial on Others	Edwards found not guilty on one count; mistrial on others	4.6
2385	e8cbf945733a394ac6ce5dbb4	I hope everything is OK!	I hope everything is okay.	5.0
1208	2ff5ca5c2aaa0f0676fed831c	The two dogs blend in with the stuff animals.	Two dogs sit on a couch with many stuffed animals.	3.4
5589	71c0cb94d53f31f5a62ff9c8e	Israel agrees to 12 hour ceasefire	Israel agrees to 24-hour Gaza truce	3.0
5330	d57372d841f1a571f6883326e	US makes case for action against Syria	Saudi Urges U.N. Action against Israel Strikes on Syria	2.4
64	73f32e3b9833149e3ab811816	A man is riding a motorcycle.	A man is riding a horse.	1.4
4612	5ed45992dbebde1b0ffbbb033	Eurozone jobless hits fresh record high	EU jobless hits fresh record	4.4
822	d23c06ac04016a3ca85928d18	A man is playing the trumpet.	Someone is playing with a toad.	0.8
4764	f0d2bfd69398a6dbeeb437745	Indian troops kill Pakistani soldier along Kashmir line of control	Indian troops raid Pakistani military post	1.2
1673	9ba5ebe5e24f31fa83f19968f	Three dogs are playing in the water.	Three dogs run in the snow.	1.4
2108	37b67896a1bb39f40dd09cd28	Originally Posted by SolInvictus The messahe of all the scriptures is oneness.	Originally Posted by SolInvictus Ah.	2.4
7315	7c9db3c2452c062bdbf828e68	A woman is peeling shrimp.	A man is squeezing water.	0.2
3119	24f20ffb5b505bf9aab791bc2	That triggered a 47-hour police standoff that inconvenienced thousands of commuters, as traffic backed up in Downtown Washington and northern Virginia.	His protest led to a 47-hour standoff with police that caused huge traffic jams in downtown Washington and northern Virginia.	4.0
1473	2fb66378c2285c14059cc3a9d	A boat is on the water near a small plane.	A boat is in the water and a small airplane is on the dock.	3.4
3845	a5fbed3d653c7652b6baf568c	One dead in Ohio school shooting	1 dead, 4 wounded in Ohio school shooting	3.2
8591	a25baedf7b72193555c30b5ce	Luxembourg PM quits amid spying scandal	Luxembourg votes after spying row	2.2
3548	e687db7cd4dd81897ca192555	syria denies having an undeclared nuclear program. 	syria denies the existence of an undeclared nuclear program.	5.0
6470	4dfce823139feb2c8189a2bb5	Running downhill is the BEST way to strengthen your quad muscles.	Additionally often people will think a downhill marathon is easier, but in fact, is often harder than an uphill marathon.	2.0
6295	ac8e5cd9555c2b5b6defdc0ef	A young boy has a red fishing pole.	A young boy stands over a bridge with a fishing pole.	3.0
7307	bf6585c17403a307e7a3fa297	Some men are sawing.	Men are sawing logs.	3.4
1668	59e16ef17e88106ff7fd2fa1e	A man holds on to a handle in the water.	A man is holding onto handles in the air.	3.2
6607	767d1343e6a9119141266a74f	"Forget for a moment that you ever learned anything about so-called ""complex"" or ""imaginary"" numbers."	As others have already mentioned, numbers are of course abstractions.	1.2
5564	6af1e0b3112452bb05938be12	Silvio Berlusconi expelled from Italy's parliament	Silvio Berlusconi expelled from parliament	4.0
2670	64eca691f275e0e2b74aa907b	That package included increases to both the city's sales and income taxes.	He also objects to the sales and personal income tax increases in the package.	2.0
532	dad36cffa68aa1537da529b07	A cow is eating grass.	A cow is eating hay.	3.8
4951	6511428c5125ee9816a79c1aa	Algeria hostage crisis ends; death toll unclear	Algeria hostage crisis ends in bloodbath	3.8
291	3ec61509da6cad9f97d28555a	A woman is slicing some vegetables.	The woman is dicing garlic.	2.8
240	63be56cf0edaff226c119a2f9	Butter is melting in a pan.	A man is melting butter in a pan.	3.6
7366	6ace39093d3d04659ef27583a	A man is cycling.	A boy is riding a bicycle.	2.5
6094	bce4ccb72dd0ac9b47498b373	A woman leading a white horse.	A man in a tux on a white horse.	2.0
6451	3477ffafbb02c01b83225ddc8	Firstly, you should be aware that there are two different kinds of dashes: the en dash and the em dash.	Semicolon is used to join sentences that can stand alone, but are joined to emphasize their relationship.	0.6
2182	d081d2e6a58be64d7edcf1a4f	those who ignore history are doomed to repeat it.	ooo strike TWO those who ignore history are doomed to repeat it.	4.2
6778	a463d265c29a31d7f16d395d3	Also in Mosul, rebel gunmen on Friday assassinated a Sunni Muslim tribal leader who backed the coalition.	Near a mosque in the northern town of Mosul, rebel gunmen also assassinated a Sunni Muslim tribal leader who backed the coalition.	4.6
7504	1d9056822794a59560538fc29	A man with a bicycle at a coffee house.	Man walking bicycle to patio of a coffee shop.	3.2
300	7db7b1c079319cdde9acb6b6a	A woman splits garlic cloves.	A woman is breaking a head of garlic into cloves.	4.6
7183	3e7a806314092baee35a86b70	Fatah endorses refusal to recognise Israel	Pakistan Denounces Latest Drone Attack	0.2
6380	87f85ec6f77b2aaf49ca0977a	My answer would be depending on which GRE are you referring to?	The problem I see with the GREs is that the scoring range is highly compressed.	1.0
5008	09f282023dfb20f0fdb6e5f75	EU extends sanctions against Russia	Nigeria drops arms trafficking charges against Russian sailors	0.4
8506	6cc392351fde45ffd30747977	Nobel Prize winning author Doris Lessing dies	Nobel laureate Doris Lessing dies at 94	4.6
5917	b738763c8976be86a5d8dfc18	A man is playing a guitar.	A man is cleaning a cd.	0.833
3290	68f851d412641f73dfbd90aac	The shooting victim was taken to Kings County Hospital Center, where he later died, the police said.	The victim, who was not identified, was taken to Kings County Hospital where he was pronounced dead.	4.333
3813	4c2b3928824ad9c818c3d21f0	Rimsha Masih released on bail	Mandela released from hospital	0.0
6882	14496245616cac9c477900633	U.S. District Judge Edmund Sargus ruled that the Akron-based company should have determined that changes at one of its plants would increase overall pollution emissions.	FirstEnergy Corp. should have determined that modernizing one of its plants would increase overall pollution emissions, U.S. District Judge Edmund Sargus ruled Thursday.	3.6
8099	75d09f96e7f92a57e4b65d3e6	It depends on what you want to do next, and where you want to do it.	It depends on what and where you are going to do.	4.0
7381	72a47723e3636eefada583323	A man is peeling a potato.	A man is slicing a potato.	2.6
542	55d812d1b63222879a2022c48	A man dives into a pool.	A man is diving into a pool.	5.0
4166	5a2acac295226b2047fe3fe76	British Archbishop of Canterbury changes career to Cambridge	Archbishop of Canterbury to step down amid rifts	2.4
989	c26c80c5f431b822163b86337	A girl is playing a guitar.	A boy is playing a key-board between the people.	1.0
4336	37067a627b89e8b9ca4ef32b1	US lawmakers take next step on new Iran sanctions	Somalia lawmakers to vote for new president	0.2
4758	9b55d7c47ae0e000cd42fa7d7	US readies possible solo action against Syria	US makes case for action against Syria	3.4
1835	6251aa65604a22ed851035fe9	A little boy clowns with a colander on his head.	A boy with a metal colander on his head.	4.2
5749	781d9ddccc8e4b846c5243335	A man with a hard hat is dancing.	A man wearing a hard hat is dancing.	5.0
162	3c2a5f9920f45285a1595a5f9	A man is playing a flute in a band.	A man is playing a guitar.	1.6
3348	b6d73b37035c2f84c038b3574	State police said as many as 30 workers were trapped immediately after the garage collapsed.	As many as 30 people were believed to be trapped inside initially, the state police said.	4.0
5538	225c1bfc8088648c9313da029	Iran's president condemns use of chemical weapons in Syria	Probe alleged use of chemical weapons in Syria	1.6
2927	eca32cbbcf67b2edb14721230	The woman was hospitalized June 15, Kansas health officials said.	Missouri health officials said he had not been hospitalized and is recovering.	1.0
3310	1c77276e6cd38039eb773c546	Garner said the self-proclaimed mayor of Baghdad, Mohammed Mohsen al-Zubaidi, was released after two days in coalition custody.	Garner said self-proclaimed Baghdad mayor Mohammed Mohsen Zubaidi was released 48 hours after his detention in late April.	4.25
4147	779da7aa3f31fd6fe60c72e7a	At least 80 dead in northwest Iran quakes	180 dead, 1,300 injured in northwest Iran earthquakes	2.6
7880	14dae3d300d8b5dc7180db457	You do not need to worry.	You don't have to worry.	5.0
8619	d074076d1d5ddbc8f10480eda	Waba emerges new NLC president	Waiting for the next president	1.0
600	bc397b9a6c2442ea25ba19256	A boy and a girl is dancing in the rain.	A man and woman is dancing in the rain.	2.6
8317	03579f967829fcba472316e12	Kollar-Kotelly has scheduled another antitrust settlement compliance hearing for January.	The judge scheduled another oversight hearing for late January.	2.8
8534	36505ea99561f48d91cd3e940	Powerful quake strikes off eastern Indonesia	6.6-mag quake strikes off eastern Indonesia	4.0
5483	47e240789153c755fa49f892d	3 dead, 1 hurt in shooting at S Carolina oceanfront motel	4 dead, 30 injured in train collision near Moscow	0.2
6584	db2eddf490ac3fd88934e0b56	Cover the entrance to the doorway with a old carpet and use a staple guns to secure it.	I started to dig into this because you caught my curiosity itch with the question...	0.0
4084	6bff1dbd0741ea32b1f366b9e	Jeremy Hunt distances himself from adviser who 'overstepped the mark'	Jeremy Hunt clings on as SpAd quits over News Corp emails	2.0
306	721092f057d5b34f41876c37a	The boy is riding a tricycle.	A woman is riding a water scooter.	1.25
5642	40ed030173da28dcf04120224	Murray ends 77-year wait for British win	Murray wins Wimbledon title ends Britains 77year agony	5.0
2992	c14b1bc2bc962a9cd03dffaf9	Security experts are warning that a new mass-mailing worm is spreading widely across the Internet, sometimes posing as e-mail from the Microsoft founder.	A new worm has been spreading rapidly across the Internet, sometimes pretending to be an e-mail from Microsoft Chairman Bill Gates, antivirus vendors said Monday.	4.8
1148	2b2773c8e2d238df3a0fa7e9b	Two people paddling in a red canoe with trees in the background.	Two people padding in a yellow canoe down a river with trees in the background.	3.4
6537	5ff4d1155b25d5293f4d7f7c9	Different parts of California have different wildlife, so you should probably narrow the region.	American black bears They are somewhat common in some wilderness areas of California, mostly in the mountains.	2.0
5961	b36face6604701608d1cc2c9d	A man is stirring ingredients in a bowl.	A man is beating two eggs in a bowl with a fork.	2.75
1849	412a86f0075a8508c083570ed	The dog returns the play toy to its master.	Three dogs race in the snow together.	1.0
4776	bc7a83b7d6097bba936d2eedd	7 killed in attacks in Iraq	27 killed in attacks across Iraq	2.0
5414	f17753105ae0325f26cdb795f	MERS respiratory illness found in U.S., officials confirm	First case of MERS, a SARS-like respiratory illness, reported in North America	4.2
2683	5b5e9b1f6aff31abfe16b81ef	"""We do not want to stand by and let a credit card lynching take place,"" declared Rep. Major Owens (D-Brooklyn)."	"""We don't want to stand by and see a credit card lynching take place,"" he said."	3.5
1080	742e67006ce12301a0b89edbf	Two mountain goats grazing in front of an alpine lake.	Two animals grazing next to a mountain, and a body of water.	3.2
631	734cc04f394ddcf53278d4bef	A man is running.	A man is mooing.	1.0
8079	51183ec7360514859c70e4d55	It depends on what you want to do next, and where you want to do it.	You need to pick how and where you want to place your foot and do it.	1.0
5519	5de7498df708c8ce04599664d	India, China ink border pact; 8 other agreements	India, China ink agreement on trans-border rivers	3.8
8407	a3e317955c0215e4e5bba5b26	Mursi takes oath of office, becomes Egyptian president	Morsi to take oath as first Egypt civilian president	3.8
6640	50049d3326ed05f4190d9b9fc	I'm not yet able to answer if the phenomenon has an official PoliSci name.	There are 2 problems with the viewpoint you presented in the question, which explain the seeming contradiction.	0.4
2424	cd99f1819bb40fafec12359f8	Bush gets zero credit for the budget under him.	And, Obama gets zero credit for the budget under him.	1.8
1780	57d7cd8b583f7716a00b0c456	Three dogs are playing in the water.	Three dogs swim in the water.	4.2
1380	5bafa4196aaac8648097b3b97	The white sheep is standing on the green hill.	A sheep stands on a hillside.	4.0
289	d2d500e55747c75800dfab5f3	A dog sat at the counter of a store.	The dog is standing at the counter.	2.6
4380	f8ed1ec5e10c9dac0663fbcef	Egypt minister survives assassination attempt	Syrian prime minister 'survives assassination attempt'	1.6
1270	bd52c15cf9323234cb06454f5	A group of people in a living room.	A group of four people walking past a giant mushroom.	0.8
6478	cfb4e75be326b3844b0b1c74b	Properly executed weight training will increase, not decrease, your flexibility and mobility.	I've seen guys that are still very flexable while lifting weights.	2.2
8273	1cd02dbc1ff161529d01cd8af	"Ms Lafferty's lawyer, Thomas Ezzell, told a Kentucky newspaper: ""My understanding of this is that there is a lower percentage of successful impregnations with frozen."	"""My understanding of this is that there is a lower percentage of successful impregnations with frozen,"" Ezzell said."	3.6
4358	a354b92809dac75b2572fdc79	Five killed in Belgian coach crash	Teenagers among 5 dead in Belgian bus crash	3.8
4245	c873878b66555e776fd11dca8	Germany Likely to Press Russia on Syrian Crisis	What is Russia thinking on Syria? A brief guide	1.0
6880	b1b2072de951c98b113c56dec	Mr. Heatley, who suffered a broken jaw and torn knee ligaments, faces several charges.	Heatley underwent surgery Saturday for a broken jaw and an MRI found two torn ligaments in his right knee.	2.25
2805	dbc5250605fa85a5a1d060328	Druce will face murder charges, Conte said.	Conte said Druce will be charged with murder.	5.0
5701	f2bc704e6da19ac2a485248e9	Egypt: IPI Urges Release of Al Jazeera Journalist Arrested in Berlin	Egypt sentences Al Jazeera journalists to jail	1.0
5716	08c69cae6df3eb63b3f90e5d0	Li Na to announce retirement	US Senator Ted Cruz to announce presidential bid	0.0
1181	18da69454e4fb142ab8fef629	A man sitting on the grass looking toward the sky.	The man is standing on the sidewalk in front of the horse.	0.0
5135	3129f0e614003c26723f18b2a	Pro-Russians forces enter Ukrainian naval base in Crimea	Crimean forces storm Ukrainian navy headquarters	3.8
2226	45c08fd9b7a76292ac359e508	"""Would you like to pay for others health care?"""	"""Would you like to wear your seatbelt?"""	0.0
4569	bb8c0584cfd17216e8542fd25	South Africans mark ailing Mandela's 95th birthday	South Africa's former PM Nelson Mandela back in hospital	1.4
2096	029f480f86f4a20b94ae8b967	Best way to get money out is to get rid of lobby, all of it.	Best way to turn it on its head is to get money out.	3.0
3081	2f2529c55c56eb3197b2976e4	The leading actress nod went to energetic newcomer Marissa Jaret Winokur as Edna's daughter Tracy.	Marissa Jaret Winokur, as Tracy, won for best actress in a musical.	4.0
342	6ffc30f165ff085d98889cf86	A dog is playing in the snow.	A dog is pawing at a fly in the carpet before it.	1.6
5990	3672c480b821c273f752e8237	A tiger is playing with his trainer.	A tiger attacks a man.	1.333
7588	27bbe7cd5a90260f99dfdf05c	A woman stands in front of a building in the snow.	Two women and a baby pose in front of a dining room.	0.0
7	9b1765f52025765efe3086a97	The man is playing the piano.	The man is playing the guitar.	1.6
5337	aaa0141e4385d8181ea40511b	19 killed, 42 wounded in violent attacks in Iraq	43 killed, 86 wounded in attacks in Iraq	2.8
653	19a6e5f64ca8c5bfbe7c2842b	A woman is washing her hands.	A woman is straightening her hair.	0.8
2662	2497e1c9f0c380efffb1979c0	Standing with reporters and photographers about 150 yards from the prison gates was Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association.	"""The whole thing is a travesty,"" fumed Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association."	1.5
5119	d53167c93fa758da569381a8b	Janet Yellen to become first woman to lead the Federal Reserve	US Senate confirms Janet Yellen as US Federal Reserve chief	4.6
3902	38dbaf32f015912fa34569fe7	Mali future interim president readies to take office	Pope rips into dissident priests on celibacy	0.0
469	1dbccd8139e3561f2c8e6b81b	The man sat in his chair and stared.	The little girl is putting her hair into a pony tail.	0.0
3111	dbe04d3fcd06ce142cdae7ec0	SARS went on to claim the lives of 44 people in the Toronto area, including two nurses and a doctor.	The virus killed 44 people in the Toronto area, including one doctor and two nurses.	3.2
2370	334d68b518470a7721f52d4cc	You should stop prefixing or suffixing everything with you hate Jews.	"I don't prefix or suffix everything with ""you hate Jews."""	2.4
6631	8fad2db9f1c7825dafea3d151	Federal DOMA does not test the full faith and credit clause so much as the 9th and 10th Amendments to the Constitution.	DOMA as a congressional statute could not violate the Full Faith and Credit Clause of the Constitution.	4.0
2634	a55780047efffc5c9dc862dad	Under Kansas law, it is illegal for children under the age of 16 to have sexual relations.	In the opinion, Kline noted that it is illegal for children that young to have sexual relations.	2.75
5508	2a0db8950fc6c9dba0f3042da	AstraZeneca pays $4.1bn to buy Bristol-Myers Squibb out of diabetes alliance	AstraZeneca to buy Bristol out of diabetes venture for up to $4.1 billion	5.0
3726	df111db3af805ffc00d6e4472	the book states that the drug conveys a completely positive image. 	the official stated that this was a complete technology transfer.	0.0
